,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
0,,hat,,hat,5383913d793954ad2d000035,1001_4.jpg,,Hat,,,,A,,False,1001,4,in middle,hat guy in middle,guy in red hat on left,hat or head guy in middle,hat or head in red hat on left,hat:head,a1
3,,parrot,,bird,537fb928d31907d16d000cac,10028_1.jpg,,bbird,,,,A,1001_4.jpg,False,10028,1,in middle,man in middle person,person in middle black shirt guy,person or plants in middle person,person or plants in middle black shirt guy,person:plants,a2
6,,hill,,mountain,537fb7b5d31907d16d000b04,10065_4.jpg,,mountain skyline outline,,,,A,10028_1.jpg,False,10065,4,very top,sky top left corner,sky very top anywhere in background,strip or hill top left corner,strip or hill very top anywhere in background,strip:hill,a1
9,,dish,,cake,537fc095d31907d16d001577,10143_1.jpg,,cake,,,,A,10065_4.jpg,False,10143,1,in front,food plate in front,cloud in front plate on table,cake or cloud plate in front,cake or cloud in front plate on table,cake:cloud,a1
12,,painting,,painting,53839350793954ad2d0000ea,10172_3.jpg,,big painting on left of wall,prep_on_left,wall,big,A,10143_1.jpg,False,10172,3,top left,leaves on left corner,top left leaves on right corner,painting or leaves on left corner,top left painting or leaves on right corner,painting:leaves,a2
15,,ship,,boat,537fb9d2d31907d16d000d5d,10195_1.jpg,,boat,,,,A,10172_3.jpg,False,10195,1,in background,girl in background mountains,little girl in background on left,frame or strip in background mountains,little frame or strip in background on left,frame:strip,a1
18,,dog,,animal,538394eb793954ad2d00015b,10368_1.jpg,,animal,,,,A,10195_1.jpg,False,10368,1,in middle,man in front tire,man in black bag on left,light or bag in front tire,light or bag in black bag on left,light:bag,a1
21,right,river,,water,537faf20d31907d16d00018d,10399_3.jpg,,water above the railing on the right,prep_above,railing,,A,10368_1.jpg,False,10399,3,on left,water on left side,water in red board on left,board or water on left side,board or water in red board on left,board:water,a1
24,,lamp,,,537fe547d31907d16d002a01,10403_2.jpg,light,light top,,,,A,10399_3.jpg,False,10403,2,top right,window on top right,big rock wall window top right,lamp or umbrella on top right,big lamp or umbrella wall window top right,lamp:umbrella,a1
27,,hut,,thatch,537fb8e7d31907d16d000c61,10538_1.jpg,,Big thatch roof,,,big,A,10403_2.jpg,False,10538,1,in background,hut roof on right,green hills hut roof on right,hill or house roof on right,green hill or house hut roof on right,hill:house,a1
30,,bed,,bed,537fc053d31907d16d001528,1053_1.jpg,,bed,,,,A,10538_1.jpg,False,1053,1,bottom right,anywhere on right bed,girl in red umbrella on right,anywhere on right bed or cloud,bed or cloud in red umbrella on right,bed:cloud,a1
33,,bird,,bird,537fe5bed31907d16d002a11,10633_1.jpg,,bird,,,,A,1053_1.jpg,False,10633,1,in middle,ground in front center,brown horse in front llama head,animals or animal in front center,brown animals or animal in front llama head,animals:animal,a1
36,,flower,,flower,537fafeed31907d16d000279,10694_1.jpg,,flower,,,,A,10633_1.jpg,False,10694,1,in middle,food plate in middle,big leaf flower bush in middle,flowers or flower plate in middle,big flowers or flower flower bush in middle,flowers:flower,a1
39,bottom,river,,,53837ff5ffd5268914000003,10743_3.jpg,,bottom left,,,,A,10694_1.jpg,False,10743,3,bottom left,sand bottom left corner,sand bottom anywhere on left corner,brick or water bottom left corner,brick or water bottom anywhere on left corner,brick:water,a1
