,Testset,file,region,gold,google,saia,google_glen
0,A,1001,4,Hat,guy with hat,guy in middle,hat
3,A,10028,1,bbird,person in back on right,tree on right,person
6,A,10065,4,mountain skyline outline,sky at very top,sky top left,very top right
9,A,10143,1,cake,first one,man in front,table
12,A,10172,3,big painting on left of wall,white thing next to left,grass on left,white part of picture on left
15,A,10195,1,boat,little girl in background,trees on left,rocks
18,A,10368,1,animal,anything but one,palm tree on left,woman
21,A,10399,3,water above the railing on the right,water on right,top left corner,floor next to right side of water
24,A,10403,2,light top,okay so click very top,second from right,very top
27,A,10538,1,Big thatch roof,green,building,i you it
30,A,1053,1,bed,bed,bottom,bed
33,A,10633,1,bird,guys head,tree on left,sand
36,A,10694,1,flower,red,person,red
39,A,10743,3,bottom left,water at bottom,ground bottom left,bottom right
42,A,10772,6,rightmost guy,person in background on right,person on right,far right
45,A,10778,1,building,any part of building,trees on right,building
48,A,10798,1,red shirt,person in red,guy in red,red shirt
51,A,10834,4,horse on the left,person standing on left,tree on left,person standing on left
54,A,10923,3,right surboard,snow on right,man on right,far right
57,A,11205,1,corn in front,lady in front,people,lady in front
60,A,11233,2,mountain,top right of mountain,any of people,top
63,A,11252,4,green snowboard the lady in middle is holding,red and blue,grass on right,blue shirt and red thing on far right
66,A,11318,4,right pig,little boy face only,person on right,face only
69,A,11511,5,tupperware lower left,girl in front of picture,second from left,girl in front
72,A,11539,1,"anywhere in the ""plate",anywhere on right,any part of people,click anywhere on right
75,A,11547,11,top glass,man in middle,water on left,first one
78,A,11605,5,anywhere on horse,grass bottom,trees on right,grass in middle
81,A,11623,6,light colored area on the left side next to pool table,brown thing on left corner,person on left,second floor on left corner very small brown thing in front
84,A,11626,1,flower bottom left,plant in front,guy in red,plant in front
87,A,11626,3,flower right one,big tree on far right,person on right,tree on right
90,A,11679,1,inside what ever that is,okay so door,building on right corner,okay so any of screen
93,A,11736,6,small cactus bottom left,person on left,person on left,person on bottom left
96,A,11737,5,spoon,ground bottom left,building on right,ground
99,A,1177,4,strip of grey on right middle on the building,on right,building,in front of building on right next to left
102,A,11785,3,white ship,top half off to us,people on right,top right
105,A,11853,5,trees behind bow,trees in middle,tree on right,trees in middle
108,A,11963,6,fourth seal from left of center row,click on right,rock on left,that is sitting on right of photo
111,A,1201,1,blue curtains top,very top right side,sky top right,very top right
114,A,12142,6,clothes to right and behind guy,blue shirt guy on right,tree on right,light blue shirt guy on right
117,A,1216,1,tree,palm tree next to right,palm tree on right,trees
120,A,12190,8,person in all black,person in middle,trees on left,person in black shirt
123,A,1226,1,door,window on right,wall on right,window
126,A,12361,6,trunk bottom left,very bottom left,people on left,very bottom left
129,A,12366,7,plain white hat in middle,girl in front,man on left,patch of girl in front
132,A,12486,4,mug covered by brown bottle,all way to left,person on left,chair all way to left
135,A,1248,4,the second umbrella from the right,guy on right,tree on right,that has spiders on far right
138,A,12559,2,train,rocks,people,rocks
141,A,12723,1,flower,white and red,guy in red,group
144,A,12761,1,chair on left oabove bottom one,second from left of table,tree on left,second from left side of table
147,A,12765,8,left gate,tree on left,people on left,on left
150,A,12846,5,painting left,brick wall on left,building on left,brick wall
153,A,12896,2,dog,red,tree on right,ground
156,A,12901,10,picture above dark skinned guy,wall on left,second from left,brick wall on left corner
159,A,12919,9,house in center,rock in middle of building,person in middle,rock in middle
162,A,12956,4,the green ballon,girl in background on left,person on left,second from left
165,A,12982,8,Guy sitting down.,guy in red shirt,person on left,second from left
168,A,1300,9,flags,top left corner,person on left,top
171,A,1316,1,frame picture,white wall on right,trees on right,on right
174,A,13185,1,middle of flower thingy,top left corner,top,tree on left corner
177,A,13215,4,water below mountains,dark area to left,water on left,grass on left
180,A,1323,8,buidling,any part of yellow building,sky,building
183,A,13558,1,bird,okay so close,palm tree on left corner,trees
186,A,13757,4,train,that is on left,second from left,left
189,A,13788,2,Bus,sky,group of people,sky
192,A,1387,2,left bed,closest to left,water on left,on left
195,A,1387,6,picture on the wall,wall on right,tree on right,yellow wall on right
198,A,14269,1,tree right side far right,tree trunk on right,tree on right,tree trunk on far right
201,A,14607,1,door,table,any part of pic,table
204,A,14649,3,waterfall,patch of pic,sky top right,top
207,A,14836,1,left parrot,woman in red shirt,guy in front,red shirt
210,A,15230,5,Pillar middle,all way on far left,tree on left,far left
213,A,15298,1,girl,person,sky,person
216,A,15309,1,seal,anything but bird,building on left,bird
219,A,15315,4,house,building on right,any of people,building
222,A,1532,1,bird,top left of picture,trees on left,floor
225,A,15390,6,plant middle,small palm tree,person on left,palm tree
228,A,15422,2,right,green tree on right side,tree on right,mountain
231,A,15429,6,fence,bottom right,bottom right corner,water
234,A,15482,5,green book lowest right,bottom right corner,bottom right corner,all way to right
237,A,15533,5,orange book,yellow shirt sitting on right,person on right,yellow shirt
240,A,15565,10,broken down building in the middle,building on left,sky no clouds,any part of building on left
243,A,15612,5,upper part,guy on right,tree on right,top right
246,A,15631,8,boat,man in front right,person on right,right
249,A,15710,5,left most picture stand,black thing on left,trees on right,black thing on left
252,A,15722,3,TREES IN THE MIDDLE,okay so any one,sky top left,okay so any one
255,A,15769,14,papers on right wall above chalkboard,closest to right,tree on left,that is on right of sign
258,A,15964,5,bird sittin,person in middle,tree on right,big rock
261,A,16078,4,right paper on desk,girl in front,water on left,girl in white shirt
264,A,16091,2,chair,hat on right,tree on right,right
267,A,16106,7,storefront,second from left,trees on right,left
270,A,16141,1,dog,lady in front,tree on right,right
273,A,16414,3,water,water to right,water,water
276,A,16417,7,white car on left,i you can see,people on right,i you can see
279,A,16530,1,horse,man on right corner,trees on right,man
282,A,16591,9,bus door between two right brown thingys,brown door on far right,tree on right,window on far right side of picture
285,A,16592,2,top middle,palm tree on right,top,top right
288,A,16599,7,redshirt,person in red,person in front,grass
291,A,16866,2,right car,white car on right,building on right,top right
294,A,1742,2,left animal,big one closest to left,sky,on left
297,A,17454,1,left bed,bed closest to left,building on left,on left
300,A,17606,4,sea above man in boat's head,water on right,bottom right corner,okay so click on right corner
303,A,17723,3,the horse in front,second from right corner,tree on right,second from right corner
306,A,1778,2,center cactus,person in middle,bottom right corner,tree trunk
309,A,17804,1,train,bottom left,palm tree on left,tree
312,A,1806,10,mountains upper left,sand at top left,trees on left,second from left
315,A,18085,5,pants,white shirt guy,ground bottom right,man
318,A,18202,2,the building on the left.,brick wall on left,tree on left,brick wall on left side
321,A,18225,7,the light post being the blonde lady in red,building on left,water on left,all way to left side of building on table
324,A,18269,6,left person,guy in background on left,person on left,far left
327,A,18328,3,left pillar,bottom left side,sky top right,bottom left
330,A,1836,1,right cactus,very bottom right,tree on right,bottom right
333,A,18378,4,coffee mug in front of yellow mug,ground in front,bottom left corner,yellow shirt and black thing in front
336,A,18405,13,middle umbrella,woman in red,person on right,red shirt
339,A,18414,6,rafter farthest right,guy on right,person on right,guy on right
342,A,1841,1,bike,right,tree on right,right
345,A,18503,8,green thiong bottom right,very bottom right,grass on right,all way to right
348,A,18662,13,bottle in the middle with red label,beer bottle closest to us,person on left,beer bottle closest to you can see
351,A,18733,9,leftmost board,tree on left,ground bottom right,on left
354,A,1875,2,center cacti formation,any part of people,tree on right,group of people
357,A,18770,1,person,man with no people,any part of people,people
360,A,18837,10,right food container,open book on right,bottom left corner,3rd from right
363,A,18861,3,paper in person's hand,closest to left,person in middle,closest to you it
366,A,1900,3,mountain above bikers,mountain on left,water on right,mountain on left
369,A,19034,9,thermos with plaid design,dark brown bottle,person on left,guy on far right
372,A,19063,5,train,big building,people on left,building
375,A,19109,4,hills in background right of the boat,mountain range just to right,water on right,mountain range just to right of image
378,A,1910,5,water between two kayakers,buildings on left,bottom right corner,big building on left
381,A,19130,6,right doorway,second from right,tree on right,bottom right
384,A,19161,7,left animal,okay so two guys,person on left,brown horse
387,A,19170,2,building,any part of big building,any of building,building
390,A,1925,13,left pillar,lamp on left,tree on right,on left
393,A,19278,16,vase,hat on left,tree on left,left
396,A,19282,4,picture with two vases,second from right of screen,tree on right,second from right side
399,A,19297,4,right palnt near fountain,person on right,second from left,plant pot on right
402,A,19298,5,3rd person from left,man in red and black,person on right,man in black shirt
405,A,19335,5,boat on water,guy in front,guy in front,guy in front
408,A,19408,2,right bed,all way on right,people on right,looks like
411,A,19410,2,bed on right,bed closest to right,people on right,closest to right
414,A,19411,10,with flag,building on top left,guy on right,top left
417,A,19582,2,water close bottle,guy in front,tree on left,guy in front
420,A,19597,2,tree trunk in background,tree on left,tree on left,tree trunk on left
423,A,1960,8,right pot not the hanging one,closest to right,person on right,that is holding up from right
426,A,19630,2,middle bed,brown thing next to us,person on left,bottom left
429,A,19633,1,big water,patch of picture,water on right,grassy area
432,A,19637,2,the bed on the right,i you that looks like,people on right,i you that looks like
435,A,19655,2,entire building in front,any part of screen anywhere,any of people,any part of screen
438,A,1965,2,umbrella middle,building on left,person on left,yellow building
441,A,1974,7,sad leafy tree in back,patch of picture,tree on right,small patch of big tree
444,A,19773,3,hat,okay so dude,man in middle,hat
447,A,1977,3,big tree on the right,tree on right,building on right,big palm tree on right
450,A,19791,1,person on the left,guy in front of people,person on left,guy in red shirt
